district,population,hhid,subnatid1,subnatid2,age,hsize,welfare,whours,rooms,regioncode,geometry,hhweight
Kamubukwana,319968,4689,11 – Maputo Cidade,56 – Kamubukwana,36,3,62871.1484375,18,4,56,32.587496349201|-25.933427209769,200.987199815409
Kamubukwana,319968,4690,11 – Maputo Cidade,56 – Kamubukwana,31,3,62871.1484375,48,4,56,32.6002389205215|-25.9521990876201,210.634688417736
Kamubukwana,319968,4691,11 – Maputo Cidade,56 – Kamubukwana,19,3,62871.1484375,60,4,56,32.6217717257346|-25.9274062802214,195.04078981174
Kamubukwana,319968,4693,11 – Maputo Cidade,56 – Kamubukwana,41,9,5917.20458984375,60,2,56,32.5789155680373|-25.9412704614638,218.635466941511
Kamubukwana,319968,4694,11 – Maputo Cidade,56 – Kamubukwana,2,9,5917.20458984375,48,2,56,32.6113939268002|-25.9276730638331,204.948096018777
Kamubukwana,319968,4695,11 – Maputo Cidade,56 – Kamubukwana,13,9,5917.20458984375,48,2,56,32.5941250953124|-25.9501711031865,209.443344213927
Kamubukwana,319968,4696,11 – Maputo Cidade,56 – Kamubukwana,18,9,5917.20458984375,48,2,56,32.5963718572186|-25.9294550997806,200.014900543163
Kamubukwana,319968,4697,11 – Maputo Cidade,56 – Kamubukwana,20,9,5917.20458984375,48,2,56,32.609356701784|-25.9329836850561,212.912566288064
Kamubukwana,319968,4698,11 – Maputo Cidade,56 – Kamubukwana,18,9,5917.20458984375,48,2,56,32.6083674164588|-25.9274028685461,208.351534447589
Kamubukwana,319968,4699,11 – Maputo Cidade,56 – Kamubukwana,28,9,5917.20458984375,56,2,56,32.5801512284267|-25.9354891423156,203.703654546615
Kamubukwana,319968,4700,11 – Maputo Cidade,56 – Kamubukwana,1,9,5917.20458984375,48,2,56,32.6016270341999|-25.9278487037852,190.167659582274
Kamubukwana,319968,4701,11 – Maputo Cidade,56 – Kamubukwana,2,9,5917.20458984375,48,2,56,32.6007025950142|-25.9472579218726,201.983741613786
Kamubukwana,319968,4720,11 – Maputo Cidade,56 – Kamubukwana,47,5,71738.6015625,53,5,56,32.5853111272975|-25.9417738886902,204.506540706949
Kamubukwana,319968,4721,11 – Maputo Cidade,56 – Kamubukwana,44,5,71738.6015625,48,5,56,32.6170217157688|-25.9380464076563,201.139369137194
Kamubukwana,319968,4722,11 – Maputo Cidade,56 – Kamubukwana,4,5,71738.6015625,48,5,56,32.5949782614721|-25.93378213646,208.147673996693
Kamubukwana,319968,4723,11 – Maputo Cidade,56 – Kamubukwana,17,5,71738.6015625,48,5,56,32.5826766941721|-25.9329454267106,193.939522916545
Kamubukwana,319968,4724,11 – Maputo Cidade,56 – Kamubukwana,25,5,71738.6015625,48,5,56,32.6124006293349|-25.9259971871414,206.464259390806
Kamubukwana,319968,4750,11 – Maputo Cidade,56 – Kamubukwana,76,2,20767.03125,27,2,56,32.5944711213241|-25.9320020221638,202.020172208745
Kamubukwana,319968,4751,11 – Maputo Cidade,56 – Kamubukwana,17,2,20767.03125,48,2,56,32.5957652252956|-25.9304841694013,205.783431975088
Kamubukwana,319968,4758,11 – Maputo Cidade,56 – Kamubukwana,43,4,169027.5625,48,4,56,32.5693708706069|-25.9518503793937,201.789935438942
Kamubukwana,319968,4759,11 – Maputo Cidade,56 – Kamubukwana,29,4,169027.5625,48,4,56,32.6146100588166|-25.9329083764414,207.326986126349
Kamubukwana,319968,4760,11 – Maputo Cidade,56 – Kamubukwana,2,4,169027.5625,48,4,56,32.6000537577576|-25.9285980488964,212.449102967112
Kamubukwana,319968,4761,11 – Maputo Cidade,56 – Kamubukwana,7,4,169027.5625,48,4,56,32.5821978869607|-25.9396548891764,210.10759035316
Kamubukwana,319968,4764,11 – Maputo Cidade,56 – Kamubukwana,60,2,79528.3125,45,4,56,32.5904409177132|-25.9340222715172,199.293168837792
Kamubukwana,319968,4765,11 – Maputo Cidade,56 – Kamubukwana,53,2,79528.3125,54,4,56,32.5861437971835|-25.940984714899,206.318520978989
Kamubukwana,319968,4771,11 – Maputo Cidade,56 – Kamubukwana,50,1,52070.4375,15,3,56,32.6095839941354|-25.9436320014355,207.23867859888
Kamubukwana,319968,4778,11 – Maputo Cidade,56 – Kamubukwana,48,1,180181.5,54,4,56,32.6019363313869|-25.9522792969296,206.372694506613
Kamubukwana,319968,4835,11 – Maputo Cidade,56 – Kamubukwana,53,6,29965.521484375,40,3,56,32.6148130931708|-25.9339667874478,212.480033773379
Kamubukwana,319968,4836,11 – Maputo Cidade,56 – Kamubukwana,43,6,29965.521484375,48,3,56,32.574424170888|-25.9454674030791,202.197962266306
Kamubukwana,319968,4837,11 – Maputo Cidade,56 – Kamubukwana,9,6,29965.521484375,48,3,56,32.5930823965185|-25.9484959788052,203.868062313177
Kamubukwana,319968,4838,11 – Maputo Cidade,56 – Kamubukwana,12,6,29965.521484375,48,3,56,32.5825222109131|-25.9490128447072,203.771661284793
Kamubukwana,319968,4839,11 – Maputo Cidade,56 – Kamubukwana,29,6,29965.521484375,48,3,56,32.60432629597|-25.9373564390012,206.749311550548
Kamubukwana,319968,4840,11 – Maputo Cidade,56 – Kamubukwana,22,6,29965.521484375,48,3,56,32.5867584532775|-25.9478066834093,202.178229772856
Kamubukwana,319968,4841,11 – Maputo Cidade,56 – Kamubukwana,70,6,58169.640625,48,5,56,32.6140860535725|-25.9428668506704,203.712099148924
Kamubukwana,319968,4842,11 – Maputo Cidade,56 – Kamubukwana,56,6,58169.640625,48,5,56,32.5768315029547|-25.930554866563,215.8705030417
Kamubukwana,319968,4843,11 – Maputo Cidade,56 – Kamubukwana,39,6,58169.640625,48,5,56,32.6018696704973|-25.9476542266093,213.824342560185
Kamubukwana,319968,4844,11 – Maputo Cidade,56 – Kamubukwana,43,6,58169.640625,48,5,56,32.5868317477339|-25.9378158676755,208.69927583234
Kamubukwana,319968,4845,11 – Maputo Cidade,56 – Kamubukwana,6,6,58169.640625,48,5,56,32.5959476598487|-25.9404283266665,204.065722054807
Kamubukwana,319968,4846,11 – Maputo Cidade,56 – Kamubukwana,10,6,58169.640625,48,5,56,32.6082371057053|-25.9375413999033,205.020962008428
Kamubukwana,319968,4858,11 – Maputo Cidade,56 – Kamubukwana,52,2,28145.3359375,55,4,56,32.6056686717985|-25.9328858118172,201.138681704589
Kamubukwana,319968,4859,11 – Maputo Cidade,56 – Kamubukwana,26,2,28145.3359375,48,4,56,32.6161950660074|-25.9327487815192,201.769246566182
Kamubukwana,319968,4872,11 – Maputo Cidade,56 – Kamubukwana,38,4,96345.7578125,11,4,56,32.6143563682472|-25.9327587585466,211.600759785407
Kamubukwana,319968,4873,11 – Maputo Cidade,56 – Kamubukwana,36,4,96345.7578125,48,4,56,32.6033519535403|-25.9295442654849,209.813427863957
Kamubukwana,319968,4874,11 – Maputo Cidade,56 – Kamubukwana,0,4,96345.7578125,48,4,56,32.5903722582806|-25.93428916255,196.025049295865
Kamubukwana,319968,4875,11 – Maputo Cidade,56 – Kamubukwana,9,4,96345.7578125,48,4,56,32.591567228456|-25.9333145290334,207.782191832357
Kamubukwana,319968,4891,11 – Maputo Cidade,56 – Kamubukwana,34,6,14339.6611328125,48,5,56,32.5902252804055|-25.9486978445015,216.413102292745
Kamubukwana,319968,4892,11 – Maputo Cidade,56 – Kamubukwana,5,6,14339.6611328125,48,5,56,32.5901506569788|-25.9466454827035,204.179135898565
Kamubukwana,319968,4893,11 – Maputo Cidade,56 – Kamubukwana,7,6,14339.6611328125,48,5,56,32.5776169298383|-25.9449680467916,206.579735824375
Kamubukwana,319968,4894,11 – Maputo Cidade,56 – Kamubukwana,11,6,14339.6611328125,48,5,56,32.6184777243608|-25.9276683107765,208.352620994119
Kamubukwana,319968,4895,11 – Maputo Cidade,56 – Kamubukwana,17,6,14339.6611328125,48,5,56,32.5744045736716|-25.9289916090753,205.378284199235
Kamubukwana,319968,4896,11 – Maputo Cidade,56 – Kamubukwana,25,6,14339.6611328125,48,5,56,32.5973065589169|-25.9381817104974,201.813959443453
Kamubukwana,319968,4897,11 – Maputo Cidade,56 – Kamubukwana,56,1,134589.296875,24,2,56,32.5863468270183|-25.9353870218908,201.934862261841
Kamubukwana,319968,4908,11 – Maputo Cidade,56 – Kamubukwana,40,7,19587.673828125,60,4,56,32.5742684073726|-25.9494559347547,207.503413819214
Kamubukwana,319968,4909,11 – Maputo Cidade,56 – Kamubukwana,10,7,19587.673828125,48,4,56,32.5876374927129|-25.9510540584736,200.360739220822
Kamubukwana,319968,4910,11 – Maputo Cidade,56 – Kamubukwana,17,7,19587.673828125,48,4,56,32.602381902767|-25.9504958621525,212.001828101108
Kamubukwana,319968,4911,11 – Maputo Cidade,56 – Kamubukwana,19,7,19587.673828125,48,4,56,32.6183870452586|-25.9282407493325,208.581024980392
Kamubukwana,319968,4912,11 – Maputo Cidade,56 – Kamubukwana,20,7,19587.673828125,48,4,56,32.5804683255126|-25.9400368792627,209.316443287334
Kamubukwana,319968,4913,11 – Maputo Cidade,56 – Kamubukwana,2,7,19587.673828125,48,4,56,32.6070419588347|-25.9302160474215,206.931578283854
Kamubukwana,319968,4914,11 – Maputo Cidade,56 – Kamubukwana,4,7,19587.673828125,48,4,56,32.5933398591392|-25.9463031267981,209.509560292686
Kamubukwana,319968,4973,11 – Maputo Cidade,56 – Kamubukwana,29,3,23024.5234375,48,4,56,32.5742983514151|-25.942403494966,217.754332452542
Kamubukwana,319968,4974,11 – Maputo Cidade,56 – Kamubukwana,12,3,23024.5234375,48,4,56,32.5963156743664|-25.9379772421269,207.719859745185
Kamubukwana,319968,4975,11 – Maputo Cidade,56 – Kamubukwana,16,3,23024.5234375,48,4,56,32.5845511273632|-25.9332957487736,203.811248546297
Kamubukwana,319968,4976,11 – Maputo Cidade,56 – Kamubukwana,25,1,56377.91015625,14,1,56,32.6017366320181|-25.9496860656658,202.94306141892
Kamubukwana,319968,4977,11 – Maputo Cidade,56 – Kamubukwana,51,6,52780,40,4,56,32.5813111036321|-25.9348802402151,215.137696540704
Kamubukwana,319968,4978,11 – Maputo Cidade,56 – Kamubukwana,45,6,52780,48,4,56,32.5833277920062|-25.9497372029986,204.72290058745
