"","Domain","Mean_MSE","Head_Count_MSE","Mean","BM_Head_Count","Mean_CV","Head_Count_CV"
"20","100302",0.0334792939480337,0.00593916409413867,0.129062275757899,0.268266746616977,1.41771464772384,0.287273668172164
"21","100303",0.0159092299227377,0.00306901600818753,-0.972646806827345,0.784808363341502,-0.129678928628832,0.0705888252563848
"22","100304",0.013221697710065,0.00248862233781141,-0.629629800566448,0.626071260422228,-0.182624204282943,0.0796811749478209
"23","100305",0.0442671343547357,0.00814708681261947,-0.831410442668544,0.721571132680664,-0.253061005513297,0.125089835559664
"24","100306",0.204376907520045,0.0332356129545119,-0.407344200063666,0.483007031882256,-1.10982467075028,0.377440407894991
"25","100307",0.161419722133263,0.0251824342449357,-0.343681937365001,0.456106537530266,-1.16901905400218,0.347922533516759
"26","100308",0.0436356146252623,0.00814591967879408,-0.553631164535766,0.587773347862043,-0.377311480479019,0.153553659954711
"27","100401",0.0574312964010197,0.0107233584127643,-0.659339984193932,0.639892701042968,-0.363466924781945,0.161829709506133
"28","100402",0.0371670422303983,0.00704314701797404,-0.343861527863914,0.482552530032735,-0.560654628761598,0.173915696342948
"29","100403",0.0303759570103886,0.00385872337147615,0.0572724949196513,0.29201834772907,3.04311862695843,0.212721645300429
"30","100404",0.197109756339985,0.0304503721505154,-0.422769723976768,0.49061360275998,-1.05014720819877,0.355677765596922
"31","100405",0.0249574156609789,0.00485336497342727,-0.494959238703907,0.557914690560253,-0.319176105336847,0.124868725410729
"32","100406",0.0391118574463923,0.00747157149939813,-1.03126017382411,0.805627991818582,-0.191772343121375,0.107293010423895
"33","100407",0.0471538497850124,0.00880878609490812,-0.976005201872742,0.783569129868038,-0.222487924901366,0.119779008614472
"34","100501",0.13336686154552,0.023099032984923,-0.503373666932053,0.526039930031281,-0.725493412091641,0.28892038717922
"35","100502",0.0577184644576012,0.0109110300512611,-1.20896486512758,0.873553308703494,-0.19872097288865,0.119575846209503
"36","100503",0.00820330490148588,0.00130050002605911,0.512754952618334,0.138488374927519,0.176638172574047,0.260400529796768
"37","100504",0.170372456271677,0.0276953665913047,-0.363937054996665,0.465143266475645,-1.13415762243981,0.357780626864435
"38","200101",0.00767123019514799,0.000639650488989524,0.775207351477344,0.0817616335182359,0.112983396142219,0.309329833955216
"39","200102",0.0129067342559502,0.000981556608189264,0.761721552443994,0.105563141272999,0.149146113290643,0.296787339357194
"40","200102",0.0129067342559502,0.000981556608189264,0.761721552443994,0.105563141272999,0.149146113290643,0.296787339357194
"41","200102",0.0129067342559502,0.000981556608189264,0.761721552443994,0.105563141272999,0.149146113290643,0.296787339357194
"42","200102",0.0129067342559502,0.000981556608189264,0.761721552443994,0.105563141272999,0.149146113290643,0.296787339357194
"43","200102",0.0129067342559502,0.000981556608189264,0.761721552443994,0.105563141272999,0.149146113290643,0.296787339357194
"44","200103",0.00673787267255508,0.000721118094360681,0.797637056817826,0.0750905243419787,0.102909644405029,0.357616920928247
"45","200104",0.00167294153196843,0.000186831781751127,0.610397996379744,0.11418902747172,0.0670080966537464,0.119701888891032
"46","200105",0.000898134225878307,0.000116423014908032,0.601500947994136,0.116322093972666,0.0498235085606873,0.0927592458928858
"47","300101",0.166638643318944,0.0250560611767352,-0.636566873619608,0.582532527687439,-0.641274286310996,0.27172914338202
"48","300102",0.0536895963475851,0.00998714904125435,-0.672128096664606,0.624954130012973,-0.344741065059879,0.159908895309692
"49","300103",0.193221482366435,0.0306464987924849,-0.571473219550662,0.553326413255721,-0.769186797976368,0.316380006721516
"50","300104",0.00568763901555454,0.00110526079186486,-0.426557402417119,0.50719125141216,-0.176802551957038,0.0655481785882948
"51","300105",0.0486243402093994,0.00831367184570995,-0.752335186978933,0.661090763435831,-0.293099775834844,0.137922572757096
"52","300106",0.0346195216059783,0.00746327408738866,-0.269974997139141,0.433031981824296,-0.689186855640238,0.19950083743563
"53","300107",0.0466281564846786,0.00802542377465344,-1.14977607281012,0.824660579093809,-0.187806602438294,0.108632244410816
"54","300108",0.151797272152675,0.0235196970911607,-0.581234567679629,0.5578073089701,-0.670317485797508,0.274936032698953
"55","300109",0.0505005768132272,0.00932015202680284,-0.987567481160616,0.763813304055726,-0.227552383222727,0.126393365956599
"56","300201",0.0277474508880456,0.0048875143966639,-0.583434538432536,0.584859849950621,-0.285508742075818,0.119534210189167
"57","300202",0.190513703092374,0.0292254845461967,-0.501222062700136,0.524019804746162,-0.870829093407598,0.326236958237197
