latitude,longitude,rwi,error
13.5925995,18.4020996,-0.607,0.342
14.8279911,22.4670410,-0.317,0.330
15.2099875,22.6428223,-0.453,0.335
13.4857894,18.3142090,-0.641,0.345
9.2214045,18.5998535,-0.313,0.354
12.4365763,17.2375488,-0.930,0.368
9.7198857,14.2712402,-0.635,0.342
9.7198857,18.6218262,-0.442,0.356
11.5553801,15.6115723,-0.772,0.338
9.8281543,14.6887207,-0.241,0.339
13.9340669,14.6887207,-0.207,0.350
14.8492310,22.2033691,-0.134,0.324
8.7222181,17.7429199,-0.699,0.367
14.4453192,21.2805176,-0.836,0.333
9.0044514,15.2819824,-0.470,0.371
14.3176146,22.2033691,-0.228,0.322
9.5899171,14.2272949,-0.702,0.348
14.5729506,14.7985840,-0.042,0.365
13.9127399,21.6540527,-0.353,0.343
14.4878712,22.3571777,-0.470,0.323
15.2099875,22.6208496,-0.118,0.319
14.6154780,21.8957520,-0.449,0.326
9.3298312,18.4680176,-0.718,0.359
13.9340669,20.8410645,-0.150,0.342
11.4261866,15.4138184,-0.276,0.356
9.6982277,15.6335449,-0.440,0.364
14.5091441,21.9177246,-0.727,0.350
13.8487469,21.6320801,-0.812,0.336
10.3905714,16.6003418,-0.150,0.374
20.4167166,17.0178223,-0.504,0.307
11.1891794,16.5344238,-0.573,0.338
12.3507339,15.1281738,-0.458,0.344
9.2647792,16.3146973,-0.422,0.356
17.9055685,18.9953613,-0.530,0.343
8.9827489,17.6110840,-0.350,0.364
10.8009324,18.6437988,-0.610,0.364
9.6332456,15.1721191,-0.417,0.345
12.0070844,21.6101074,-0.562,0.348
12.2863336,15.4138184,-0.320,0.341
10.7793483,15.3259277,-0.434,0.340
13.2934109,20.0720215,-0.563,0.365
9.4815719,15.6555176,-0.321,0.349
9.9580298,15.2819824,-0.165,0.340
14.9341696,22.3571777,-0.661,0.323
14.1046123,21.5222168,-0.655,0.348
9.4382242,17.5891113,-0.312,0.355
8.4615055,16.2927246,-0.589,0.364
8.1136149,16.9958496,-0.568,0.358
11.7490585,18.0725098,-0.622,0.354
12.0500648,16.9958496,-0.511,0.355
9.7198857,15.7214355,-0.659,0.345
8.1571180,17.5451660,-0.285,0.362
13.8487469,15.4577637,-0.119,0.358
14.0193555,14.4689941,-0.029,0.345
8.7222181,18.7536621,-0.621,0.357
8.6353339,18.6877441,-0.307,0.357
9.0261526,15.2160645,-0.440,0.347
9.6115820,14.4250488,-0.628,0.343
9.6765684,16.0949707,-0.658,0.356
13.5071552,21.2365723,-0.755,0.334
14.2750302,21.8298340,-0.560,0.347
12.4794869,15.2819824,-0.647,0.361
7.9613173,17.4572754,-0.397,0.357
9.5465832,17.6770020,-0.783,0.358
12.3078021,17.0617676,-0.606,0.358
8.4832384,17.4353027,-0.147,0.373
12.1360050,21.4123535,-0.514,0.359
8.7004990,17.8967285,-0.756,0.379
