latitude,longitude,rwi,error
15.1887835,0.3625488,-0.548,0.258
14.1046123,-2.9772949,-0.321,0.272
14.5729506,-3.6584473,-0.594,0.267
12.3721972,-6.4709473,-0.332,0.270
12.5009395,-5.5920410,-0.459,0.262
12.8439375,-7.9211426,-0.773,0.347
12.7368003,-8.1848145,0.014,0.301
10.8872536,-7.9211426,-0.328,0.272
13.2934109,-7.4597168,-0.836,0.285
13.0580745,-11.1730957,-1.022,0.305
13.6566625,-7.2180176,-0.421,0.279
11.1029466,-5.3942871,-0.281,0.261
13.3361750,-10.6237793,-0.411,0.271
14.3601909,-7.9650879,-0.707,0.313
11.7490585,-6.6906738,-0.142,0.291
10.8009324,-5.8776855,-0.571,0.263
12.9938527,-4.7790527,-0.886,0.275
14.6792536,-1.8127441,-0.636,0.248
11.0166883,-6.4929199,-0.942,0.265
10.8656756,-7.9211426,-0.377,0.279
14.5091441,-11.1950684,-0.608,0.357
16.6677684,-0.2746582,-0.758,0.280
13.0152618,-5.1086426,0.217,0.265
15.6970862,-4.0979004,-0.288,0.290
14.9978516,-7.4377441,0.094,0.309
12.3078021,-6.3830566,-0.487,0.273
15.0190747,-4.0319824,-0.100,0.260
15.2311894,-3.4826660,-0.542,0.272
15.9296380,-3.2629395,-0.964,0.267
14.8279911,-9.5251465,-0.936,0.291
14.1259215,-3.1970215,-0.492,0.258
14.7430107,-5.0427246,-0.618,0.258
12.0715524,-5.3942871,-0.546,0.260
14.2537350,-6.1413574,-0.562,0.279
13.4644216,-9.3933105,-0.661,0.268
13.7207082,-5.7238770,-0.536,0.268
14.4240402,-11.3928223,-0.581,0.339
13.1650736,-9.8327637,-0.867,0.261
12.7582314,-6.8005371,-0.711,0.288
13.4003068,-5.9875488,-0.264,0.273
16.0352546,1.0876465,-0.432,0.257
13.3789314,-3.8342285,0.182,0.340
15.1251586,-10.2941895,-0.733,0.268
12.5223904,-5.5261230,-0.650,0.290
18.4275017,1.4392090,0.184,0.298
12.5223904,-11.0412598,-0.759,0.269
15.7182383,2.5378418,-0.415,0.261
12.0500648,-7.1520996,-0.837,0.264
12.4794869,-5.0427246,-0.581,0.272
14.3389038,-2.2961426,-0.260,0.245
15.6336167,-3.9221191,-0.417,0.274
13.4430519,-3.4826660,-0.777,0.251
12.1145226,-8.0969238,-0.381,0.277
14.3601909,-11.3269043,-0.122,0.309
13.8487469,-4.0979004,-0.622,0.274
13.2934109,-9.3933105,-0.308,0.264
12.6939327,-5.6140137,-0.640,0.269
10.4121830,-5.8996582,-0.793,0.257
12.7153674,-5.2844238,-0.310,0.274
11.8565990,-5.5261230,-0.179,0.263
14.8067491,-10.8654785,-0.752,0.272
15.3159757,-8.6682129,-0.867,0.282
13.8700799,-7.9870605,-0.558,0.308
14.8492310,-6.1413574,-0.563,0.283
13.0794780,-9.6130371,-0.794,0.280
12.3078021,-11.2609863,-0.798,0.247
14.0833011,-3.3508301,-1.062,0.258
11.3831090,-6.2512207,-0.650,0.323
13.1650736,-8.2287598,-0.907,0.270
13.1864679,-9.4372559,-0.160,0.276
14.8279911,-5.9875488,-0.460,0.407
16.4360849,-3.2409668,-0.485,0.278
11.9640971,-8.2067871,-0.441,0.284
13.6139558,-8.0529785,-0.590,0.281
13.4003068,-3.5925293,-0.146,0.252
15.0190747,-2.1203613,-0.723,0.246
14.0833011,-5.5700684,-0.750,0.276
11.5123222,-5.8996582,-0.752,0.261
14.5942153,-4.5153809,-0.135,0.260
14.5942153,-2.5598145,-0.537,0.248
12.0715524,-6.5588379,-0.309,0.268
14.6792536,-12.1618652,-0.293,0.274
14.2324377,-9.7009277,-0.908,0.284
13.1436775,-6.3171387,-0.606,0.270
12.1789647,-5.0427246,-0.927,0.260
13.9127399,-5.6579590,-0.694,0.318
14.6367386,-5.8996582,-0.441,0.279
10.9951198,-6.9982910,-0.641,0.259
14.2537350,-8.0310059,-0.764,0.273
13.7207082,-10.5578613,-0.374,0.263
12.6724962,-5.4821777,-1.147,0.314
12.6081759,-6.0974121,-0.519,0.298
13.1864679,-4.4494629,-1.273,0.276
12.1145226,-7.6135254,-0.574,0.285
12.8867796,-6.4929199,-0.175,0.287
10.6498109,-5.4821777,-0.858,0.260
10.8009324,-6.4489746,-0.883,0.258
12.8010881,-9.5471191,-0.032,0.260
13.3575541,-9.4372559,-0.735,0.266
16.7940233,0.2307129,-0.198,0.277
12.8867796,-9.7888184,-0.730,0.280
11.1460662,-8.2727051,-0.551,0.277
13.3147939,-7.2180176,-0.227,0.284
15.6970862,-3.4606934,-0.446,0.269
13.2720261,-7.9211426,-0.813,0.269
15.4642688,-7.5036621,-0.779,0.274
14.6367386,-5.9875488,-0.256,0.283
12.6081759,-5.8337402,-0.737,0.291
15.0190747,-3.3068848,-0.541,0.253
10.3905714,-7.2619629,-0.363,0.266
15.0615146,-2.9333496,0.076,0.274
13.2292507,-3.4826660,-0.271,0.257
15.9930146,-0.9558105,-0.897,0.248
13.1864679,-4.5593262,-0.485,0.266
12.5009395,-7.3278809,-0.814,0.284
13.6139558,-6.6027832,-0.438,0.282
11.4046486,-7.4597168,0.151,0.394
12.2863336,-5.5480957,-0.459,0.278
11.8350943,-6.8225098,-0.435,0.268
14.1898373,-2.4499512,-0.085,0.249
13.9127399,-4.8229980,-0.654,0.261
11.6414761,-8.1848145,0.754,0.482
10.4986143,-5.7678223,-0.174,0.278
15.5701276,-4.4494629,-0.432,0.277
12.7796606,-11.1511230,-0.310,0.257
14.8492310,-3.9001465,-0.499,0.274
14.6367386,-3.3068848,-1.026,0.261
14.2324377,-4.6472168,-0.265,0.273
15.1675773,-7.3718262,-1.024,0.277
11.1460662,-8.2507324,-0.556,0.271
12.5652867,-6.1193848,-0.132,0.270
13.6139558,-7.1960449,-1.199,0.279
11.2107336,-7.1740723,-0.729,0.264
11.7920798,-5.9655762,-0.468,0.269
13.4857894,-8.2287598,-0.755,0.272
14.0833011,-6.9763184,-0.510,0.278
14.1898373,-5.5261230,-0.503,0.269
13.9980363,-7.3278809,-0.903,0.282
13.5498812,-11.7883301,-0.082,0.355
13.1864679,-9.3273926,-0.273,0.273
13.9767151,-9.3933105,-0.788,0.271
16.9832482,-1.4392090,-0.310,0.296
15.3583559,-4.4055176,-0.440,0.293
12.5009395,-6.7785645,-0.656,0.342
11.7275454,-5.7678223,-0.709,0.276
13.8487469,-5.4162598,-0.458,0.266
14.8704688,-2.5598145,-0.819,0.251
12.9081979,-6.8225098,-0.306,0.348
15.6547754,-4.9548340,-0.149,0.383
10.2824911,-7.0861816,-0.590,0.255
13.6993616,-4.1638184,-0.715,0.269
12.1789647,-7.4816895,-0.410,0.272
14.0406726,-10.9094238,-0.621,0.435
13.3575541,-7.9431152,-0.751,0.268
12.5009395,-4.5373535,-0.455,0.281
12.9510290,-5.0427246,-0.940,0.268
16.9201944,-0.3405762,-0.341,0.314
12.8010881,-4.2736816,-0.233,0.254
13.9340669,-8.1408691,-0.627,0.306
12.3292689,-6.8664551,-0.266,0.269
13.9127399,-8.0090332,-0.484,0.308
13.6139558,-5.7238770,0.014,0.274
13.4430519,-10.9753418,-0.657,0.257
16.1830238,-3.4167480,-0.682,0.292
13.2078602,-10.1403809,-0.766,0.257
14.6579971,-3.7902832,-0.526,0.257
13.7847363,-10.4260254,-0.694,0.269
13.1650736,-6.2512207,-0.055,0.284
13.7847363,-7.2399902,-0.426,0.295
13.6353101,-3.5925293,-0.615,0.261
12.8225137,-9.8327637,-0.239,0.262
12.2219175,-5.3723145,-0.596,0.283
15.2311894,-9.9645996,-0.637,0.280
16.4992989,0.2746582,-0.380,0.262
13.5498812,-5.4162598,-0.317,0.285
13.3361750,-5.1086426,-0.520,0.261
